20,30
-27,7
-19,11
20,26
-10,-20
-29,-25
26,2
-13,5
22,-27
-12,24
-12,-25
-18,-16
24,-24
2,-7
21,17
27,6
23,11
14,-24
18,19
29,-17
23,-13
-9,-2
11,-26
18,4
-6,-28
-4,26
-16,26
-27,11
-30,26
-2,2
-23,12
0,-4
21,19
22,20
6,3
22,6
-11,10
29,-28
-25,24
-15,13
22,18
3,29
20,23
10,4
15,-3
12,-30
12,28
-11,-20
-18,-21
22,-18
-30,-10
-24,0
-6,28
19,-25
30,-18
-21,23
25,-3
29,-29
22,1
-25,-7
19,28
-16,-21
1,28
-4,-5
-6,-3
25,-29
16,9
-6,-7
20,25
5,-22
14,3
-10,-15
-2,15
-19,21
10,-2
18,-19
22,-29
-4,-3
21,28
-19,-30
-20,13
-17,7
-22,3
24,11
27,11
4,17
-22,28
26,24
-16,24
-23,-15
19,2
-19,-12
-10,11
-23,-20
-29,-22
5,1
3,-29
-13,3
-19,-18
-27,0
-19,28
-11,-21
19,29
3,22
-30,-30
-16,11
-20,18
27,-21
1,-13
24,8
-27,22
30,14
-17,25
26,-4
20,-8
-19,-7
-18,16
-30,-9
17,-18
-23,-22
-19,-3
22,14
26,14
5,20
-30,15
-22,23
-27,26
14,-7
-28,-17
3,-28
3,12
30,4
-7,-7
28,24
20,-19
6,9
-29,18
-15,-26
15,25
28,7
9,9
-10,9
-30,24
-7,-3
15,-13
-23,2
-17,13
-11,18
-20,-29
-16,-13
29,-3
23,19
12,17
-11,16
19,-3
8,-8
-5,11
8,0
-1,-21
-25,-5
8,-22
30,3
22,-17
-23,18
-20,-3
18,-20
-7,28
24,-26
21,5
6,18
29,-1
-20,2
13,8
-18,28
-23,15
30,13
-18,23
-10,-25
22,-24
-15,20
15,15
14,18
-3,-17
-29,-27
-7,3
19,30
-29,9
7,10
4,-24
12,-5
12,-8
0,8
-10,-22
-6,19
-24,22
-20,1
-28,-28
-22,-27
-2,-29
-8,-19
-23,21
29,25
19,27
23,24
-13,24
-24,9
-23,11
8,8
-26,9
20,-9
27,18
-22,18
-9,5
7,-24
19,-8
-10,17
12,8
-29,-21
2,-6
-19,10
19,11
-2,8
12,6
9,20
-28,27
23,-23
11,0
-5,-27
17,10
30,18
16,-22
7,24
-10,-12
21,-25
0,-21
15,19
-28,-2
10,15
-2,-24
15,9
-6,-14
-4,25
26,6
26,19
-2,-27
5,-5
15,-18
-2,30
-1,-7
-10,24
-19,18
-17,-2
-21,-24
-1,19
-8,-30
12,-13
0,14
25,9
1,25
-18,19
-7,11
-27,14
-15,0
8,6
22,-26
30,6
16,11
1,17
21,-13
2,-1
-10,27
0,17
-18,10
15,12
-27,-10
18,29
18,-24
-9,30
11,10
-19,2
14,0
-20,-7
11,23
20,-15
28,21
12,-16
-21,-14
11,8
10,-17
-19,-11
14,-20
-16,12
-10,-13
5,12
13,14
-9,26
29,28
-8,4
7,14
7,4
-3,26
30,-6
-24,7
-1,-26
-9,-14
-29,-28
12,-10
9,-1
1,-21
-10,10
19,22
-10,0
22,-23
10,27
9,-5
16,5
-5,15
29,27
-12,8
-30,23
30,-30
-13,-24
-15,-8
8,-29
30,-14
28,29
-3,-23
30,19
13,-15
4,-12
29,23
-28,-24
-7,0
-22,1
27,25
-26,-22
30,-10
-23,-9
0,-19
29,-19
-25,9
26,-22
-19,29
-13,-25
-14,6
-20,-30
30,-16
-24,-1
11,-19
4,10
28,25
1,-14
0,-1
4,15
-30,21
2,6
-22,-21
-26,1
-16,28
14,4
-5,2
15,21
-3,27
-5,-20
7,19
0,-15
24,-6
-22,-6
30,-9
17,-8
-3,15
-7,5
16,4
24,30
6,-29
15,29
10,-22
25,-6
25,-17
-18,-8
-10,-11
-15,-5
-16,-4
14,-23
9,-11
-18,25
-2,21
8,17
5,-4
28,30
-2,-5
2,27
21,-30
-29,-30
-28,-18
-22,-14
30,-23
5,0
6,4
-19,14
-7,30
18,25
3,4
0,-17
-8,-22
16,17
-5,5
25,13
-11,9
22,9
-11,8
-17,5
-25,-2
8,-4
7,-6
5,-13
-20,30
-17,-25
21,-12
26,27
-11,23
10,-26
-3,2
8,-25
-7,4
14,-21
-12,22
-1,-2
-18,-1
1,-30
16,-29
-10,12
-2,-15
-24,-25
-17,30
-13,29
4,-26
-20,-4
29,15
-28,-25
-23,22
-8,-14
-25,-15
-10,-21
12,3
-15,-7
30,25
9,26
8,-1
6,-20
-30,-28
15,0
29,21
28,-24
2,-13
-26,11
-6,4
12,23
-25,-22
-2,-12
-25,5
-26,18
-25,2
-13,-19
10,14
3,-12
-11,-12
22,10
9,-30
29,11
28,-17
-23,6
0,-12
-2,24
-10,22
-3,16
19,10
-1,30
-27,-12
-18,27
-21,-1
25,-7
-20,11
-19,-28
-22,-12
-27,-2
21,10
5,8
-5,20
25,7
23,20
29,-12
1,13
3,-2
-15,15
-20,-26
-14,-7
-8,-20
16,-28
-3,29
21,8
28,-27
17,30
-3,28
8,2
-10,20
11,12
-18,113,-6
-20,-18
7,-18
-13,-4
27,-8
-22,24
-2,-19
-4,-29
15,22
14,29
1,11
-25,-16
-14,5
-25,-10
13,16
-13,-14
21,-6
-20,10
-17,-14
-5,9
30,28
-14,-1
2,-30
17,0
16,-18
-3,-29
-1,-14
14,-8
-13,9
6,-23
-14,-11
-4,16
5,2
11,13
-5,8
-11,22
-16,18
25,-4
19,-5
4,-17
-10,-19
-8,25
-13,-11
-14,-16
23,21
-13,10
-13,-28
-27,25
-13,-18
17,5
-20,7
-12,-22
-14,18
8,19
19,7
21,-20
-29,4
-10,30
